name,email,title,department
,,,CCOM
,,,MCBS
,,,EOS
,,,Mechanical engineering
,,,EOS
,,,Earth Sciences
,,,CCOM
,,,MCBS
,,,Mechanical Engineering
,,,Earth Sciences
,,,Oceanography
,,,Mechanical engineering
,,,Oceanography
,,,Mechanical engineering
,,,MCBS
,,,Mechanical engineering
,,,Ocean Engineering
,,,Earth Sciences
,,,Mechanical Engineering
,,,EOS
,,,Mechanical engineering
,,,EOS
,,,Ocean Engineering
,,,Oceanography
,,,CCOM
,,,Mechanical engineering
,,,Mechanical Engineering
,,,EOS
,,,Earth Sciences
