name,department,email,title
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Assistant professor
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Grad student
,,,Research Scientist
,,,Grad student
,,,Grad student
,,,Associate professor
,,,Grad student
,,,Grad student
,,,Grad student
,,,Scientific Data Analyst
,,,Research Professor
