name,department,email,title
,Earth Science,,
,OE,,
,MCBS,,
,OPAL,,
,MCBS,,
,ME,,
,Earth Science,,
,Earth Science,,
,CCOM,,
,ME,,
,ME,,
,ME,,
,OE,,
,Earth Science - Oceanog.,,
,CCOM,,
,ME,,
,OPAL,,
,ME,,
,EOS,,
,ME,,
,ME,,
,Earth Science,,
,CCOM,,
,MCBS,,
,Earth Science,,
